Ticker,Price,P/E Ratio,P/S Ratio,P/B Ratio,ROE,EV/EBITDA,1M Return,3M Return,6M Return,12M Return
EXR,151.1500,35.1400,10.2200,2.3100,0.0646,,0.0316,0.0020,-0.0937,0.0878
XOM,102.3000,13.5300,1.3000,1.6800,0.1418,,-0.0226,-0.0726,-0.1317,-0.0972
FFIV,285.3800,27.1000,5.5800,4.9900,0.1989,,0.0780,-0.0241,0.1473,0.6889
FDS,458.2600,32.5600,7.7100,8.4600,0.2812,,0.0628,-0.0052,-0.0604,0.1441
FICO,1726.2800,74.3500,22.8300,,,,-0.1324,-0.0849,-0.2686,0.3383
FAST,41.3400,41.2400,6.2300,12.8500,0.3235,,0.0211,0.1036,0.0095,0.2953
FRT,95.4800,27.4100,6.8000,2.7200,0.0985,,0.0155,-0.0840,-0.1591,-0.0140
FDX,218.1000,13.6900,0.6000,1.9600,0.1474,,0.0369,-0.1659,-0.2778,-0.1232
FIS,79.6100,49.8000,4.1000,2.7800,0.0525,,0.0093,0.1257,-0.0475,0.0692
FITB,38.1900,12.1300,1.8600,1.3900,0.1171,,0.0626,-0.1130,-0.1971,0.0588
FSLR,158.0800,13.4400,3.9800,2.0700,0.1677,,0.2564,0.1608,-0.1802,-0.4183
FE,41.9400,22.3100,1.7400,1.9300,0.0869,,-0.0117,0.0930,0.0186,0.0858
FI,162.7900,28.8000,4.3600,3.5000,0.1188,,-0.1180,-0.3093,-0.2659,0.0870
F,10.3800,8.3200,0.2300,0.9800,0.1147,,0.0521,0.1028,-0.0460,-0.0771
FTNT,101.7800,41.8900,12.6800,39.8800,2.0591,,-0.0191,-0.0577,0.0930,0.7158
FTV,70.1900,30.8200,3.8600,2.3300,0.0770,,0.0083,-0.1166,-0.1163,-0.0531
FOXA,54.9400,13.6600,1.4700,2.1500,0.1689,,0.1034,-0.0416,0.1980,0.6140
FOX,50.2800,12.5000,1.4700,1.9700,0.1689,,0.0874,-0.0653,0.1562,0.5936
BEN,21.6400,31.3400,1.3100,0.9200,0.0284,,0.1535,0.0867,-0.0162,-0.0252
FCX,38.4800,31.7600,2.2600,3.1300,0.1010,,0.0680,0.0472,-0.1258,-0.2598
GRMN,202.9700,26.7400,6.0600,4.7800,0.1904,,0.0862,-0.1102,-0.0471,0.2586
IT,436.4200,27.1500,5.3100,22.5500,1.1319,,0.0364,-0.1242,-0.1591,0.0399
GE,245.9100,38.3500,6.6100,13.6200,0.2809,,0.2202,0.1903,0.3693,0.4990
GEHC,70.5400,14.8300,1.6300,3.5200,0.2632,,0.0030,-0.1920,-0.1458,-0.0942
GEV,472.9800,67.5000,3.6100,15.0000,0.2202,,0.2755,0.4122,0.4399,1.6930
GEN,28.4800,27.6400,4.4900,7.7400,0.2880,,0.1057,0.0466,-0.0616,0.1678
GNRC,122.1300,21.2700,1.6600,2.9200,0.1429,,0.0678,-0.1030,-0.3628,-0.1704
GD,278.4900,19.3300,1.5200,3.3600,0.1823,,0.0234,0.1086,0.0006,-0.0516
GIS,54.2600,11.9200,1.5100,3.2100,0.2737,,-0.0437,-0.0956,-0.1550,-0.1800
GM,49.6100,7.1500,0.2500,0.7400,0.0888,,0.0966,0.0123,-0.1720,0.1137
GPC,126.5200,20.7800,0.7500,3.9500,0.1919,,0.0763,0.0215,-0.0068,-0.0950
GILD,110.0800,23.1500,4.7700,7.1500,0.3251,,0.0332,-0.0302,0.2353,0.7771
GPN,75.6100,12.2100,1.8300,0.8300,0.0703,,-0.0092,-0.2799,-0.3593,-0.2503
GL,121.8700,9.9200,1.7200,1.8600,0.2047,,-0.0119,-0.0417,0.0988,0.4865
GDDY,182.1500,34.9700,5.5800,129.9100,2.4570,,-0.0328,0.0148,-0.0774,0.3045
GS,600.4500,13.9300,1.4700,1.6900,0.1226,,0.1021,-0.0303,0.0106,
HAL,19.5900,8.2100,0.7500,1.6300,0.2099,,-0.0116,-0.2518,-0.3800,-0.4537
HIG,129.8400,12.9400,1.3700,2.2400,0.1849,,0.0584,0.1026,0.0777,0.2769
HAS,66.7100,22.0100,2.1900,7.9900,0.3916,,0.0889,0.0464,0.0588,0.1652
HCA,381.3900,16.9500,1.2800,,,,0.1052,0.2480,0.1764,0.1316
DOC,17.4100,43.8800,4.4200,1.4900,0.0326,,-0.0185,-0.1394,-0.1865,-0.0762
HSIC,69.9900,21.7600,0.6700,2.5800,0.1178,,0.0773,-0.0302,-0.0891,0.0094
HSY,160.6900,19.8200,3.0300,6.9500,0.3748,,-0.0308,-0.0617,-0.0689,-0.1613
HES,132.1900,18.3100,3.2700,3.5500,0.2082,,0.0243,-0.1095,-0.0844,-0.1302
HPE,17.2800,8.5500,0.7300,0.9000,0.1209,,0.0654,-0.1207,-0.2108,0.0063
HLT,248.4400,39.1900,5.2300,,,,0.1025,-0.0618,-0.0193,0.2415
HOLX,62.1700,26.2500,3.4400,3.0000,0.1177,,0.0682,-0.0192,-0.2202,-0.1574
HD,368.2900,24.9900,2.2500,46.0700,2.9952,,0.0216,-0.0655,-0.1308,
HON,226.6700,26.0400,3.7200,8.3400,0.3356,,0.0823,0.0702,-0.0067,0.1446
HRL,30.6800,22.5700,1.4100,2.1000,0.0939,,0.0261,0.0820,-0.0048,0.0283
HST,15.4900,16.0600,1.8500,1.6200,0.1012,,0.0970,-0.0260,-0.1325,-0.0892
HWM,169.8900,55.3900,9.0900,14.4900,0.2829,,0.2267,0.2445,0.4687,1.0130
HPQ,24.9000,9.6000,0.4300,,,,-0.0262,-0.1852,-0.3546,-0.2940
HUBB,389.5800,26.3500,3.7200,6.3800,0.2578,,0.0763,0.0519,-0.1519,0.0148
HUM,233.1300,16.4800,0.2300,1.5900,0.1009,,-0.1110,-0.1351,-0.2284,-0.3412
HBAN,15.6300,12.0500,1.9100,1.2300,0.1030,,0.0757,-0.0410,-0.1242,0.1721
HII,223.0600,16.0800,0.7600,1.8300,0.1227,,-0.0257,0.2781,0.1450,-0.0962
IBM,259.0600,44.5600,3.8300,8.9600,0.2191,,0.0784,0.0331,0.1609,0.5997
IEX,180.9100,28.6500,4.1600,3.5100,0.1273,,0.0438,-0.0656,-0.2283,-0.1210
IDXX,513.3600,47.4400,10.5000,28.6200,0.5933,,0.1865,0.1744,0.1978,0.0330
ITW,245.0800,21.5700,4.5600,22.1600,1.0762,,0.0215,-0.0659,-0.1025,0.0337
INCY,65.0600,201.3000,2.8500,3.4400,0.0047,,0.0383,-0.1148,-0.1151,0.1258
IR,81.6400,40.3600,4.5200,3.1400,0.0809,,0.0826,-0.0366,-0.2247,-0.1218
PODD,325.0300,58.4900,10.4000,17.1900,0.3792,,0.2883,0.1938,0.2193,0.8344
INTC,19.5500,,1.6100,0.8500,-0.1866,,-0.0274,-0.1761,-0.2139,-0.3623
ICE,179.8000,37.2300,9.1200,3.6900,0.1027,,0.0704,0.0408,0.1328,0.3587
IFF,76.5600,,1.7100,1.4900,-0.0608,,-0.0242,-0.0595,-0.1495,-0.1897
IP,47.8100,40.7600,1.2700,1.3900,0.0301,,0.0567,-0.1434,-0.1829,0.0994
IPG,23.9600,18.3200,0.8400,2.4500,0.1333,,-0.0462,-0.1149,-0.2010,-0.2020
INTU,753.4700,61.3100,11.5600,10.4500,0.1784,,0.2008,0.2296,0.1913,0.3156
ISRG,552.3400,81.0200,22.7200,11.5700,0.1594,,0.0708,-0.0363,0.0294,0.3736
IVZ,14.4600,11.5800,1.0600,0.6100,0.0550,,0.0522,-0.1572,-0.1834,-0.0337
INVH,33.7000,98.0800,7.6200,2.1300,0.0492,,-0.0143,-0.0007,0.0133,0.0015
IQV,140.3300,19.1300,1.5700,4.0900,0.2165,,-0.0951,-0.2567,-0.3122,-0.3595
IRM,98.7100,240.5800,4.6500,,59.9519,,0.1008,0.0692,-0.1700,0.2594
JBHT,138.8500,25.2100,1.1400,3.5600,0.1397,,0.0667,-0.1358,-0.2585,-0.1270
JBL,168.0100,40.2600,0.6600,13.5500,0.2410,,0.1469,0.0850,0.2550,0.4164
JKHY,181.1700,30.8400,5.6900,6.4800,0.2249,,0.0480,0.0504,0.0611,0.1143
J,126.3000,34.8300,1.1600,3.9300,0.0846,,0.0330,-0.0018,-0.0797,0.1036
JNJ,155.2100,17.2500,4.1800,4.7800,0.2945,,0.0015,-0.0514,0.0211,0.0927
JCI,101.3700,27.0300,2.7100,4.2200,0.1492,,0.2082,0.1887,0.2274,0.4373
JPM,264.0000,12.9600,2.5700,2.2100,0.1725,,0.0792,0.0037,0.0668,0.3331
